date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:14	14326/14326	---MCZ	200	added ('OK')	text/html	etag:W/%2237f6-LHMTnRfp/3ICgNrnmlGSTB7I95A%22	https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button	C:/My%20Web%20Sites/photographt-wix/www.wix.com/website-template/view/html/2728641f.html	(from )
12:57:15	460/460	---MCZ	200	added ('OK')	text/plain	etag:W/%224a0-tTFQWKA6ydtiRcWvhl+KghJguso%22	https://www.wix.com/robots.txt		(from )
12:57:15	64631/64631	---M-Z	200	added ('OK')	application/javascript	etag:%2250e5265eef68ef86cd87a964d0d358a0%22	https://browser.sentry-cdn.com/5.27.4/bundle.min.js	C:/My%20Web%20Sites/photographt-wix/browser.sentry-cdn.com/5.27.4/bundle.min.js	(from https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button)
12:57:15	143026/143026	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2014%20Sep%202021%2012:19:57%20GMT	https://static.parastorage.com/polyfill/v3/polyfill.min.js?features=default,es6,es7,es2017,es2018,es2019,fetch&flags=gated&unknown=polyfill	C:/My%20Web%20Sites/photographt-wix/static.parastorage.com/polyfill/v3/polyfill.minb292.js	(from https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button)
12:57:16	13849/13849	---M-Z	200	added ('OK')	text/css	etag:W/%22338855569759ca44a0734ec4435bcbd0%22	https://static.parastorage.com/services/third-party/fonts/Helvetica/fontFace.css	C:/My%20Web%20Sites/photographt-wix/static.parastorage.com/services/third-party/fonts/Helvetica/fontFace.css	(from https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button)
12:57:16	1924/1924	---M-Z	200	added ('OK')	text/css	etag:W/%22829780ebf6cd67e3c5b9820e0b561f3c%22	https://static.parastorage.com/unpkg/@wix/wix-fonts@1.12.0/madefor.min.css	C:/My%20Web%20Sites/photographt-wix/static.parastorage.com/unpkg/@wix/wix-fonts@1.12.0/madefor.min.css	(from https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button)
12:57:16	1138/1138	---M-Z	200	added ('OK')	text/css	etag:W/%2272da3d8b8df8e9f17d656db8a7d809a4%22	https://static.parastorage.com/unpkg/@wix/wix-fonts@1.12.0/madeforDisplay.min.css	C:/My%20Web%20Sites/photographt-wix/static.parastorage.com/unpkg/@wix/wix-fonts@1.12.0/madeforDisplay.min.css	(from https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button)
12:57:17	13846/13846	---MCZ	200	added ('OK')	text/css	etag:W/%2293deb0851239b6358a420c6185d74dfc%22	http://static.parastorage.com/services/marketing-template-viewer/1.1160.0/app.min.css	C:/My%20Web%20Sites/photographt-wix/static.parastorage.com/services/marketing-template-viewer/1.1160.0/app.min.css	(from https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button)
12:57:18	7649/7649	---M-Z	200	added ('OK')	application/javascript	etag:W/%22e7d14296d35556b03d875e522cf13464%22	http://static.parastorage.com/services/tag-manager-client/1.427.0/hostTags.bundle.min.js	C:/My%20Web%20Sites/photographt-wix/static.parastorage.com/services/tag-manager-client/1.427.0/hostTags.bundle.min.js	(from https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button)
12:57:18	14431/14431	---MCZ	200	added ('OK')	text/html	etag:W/%22385f-//t+8eURk98bcBXAmu8xsX+uOLo%22	https://www.wix.com/website-template/view/html/2728	C:/My%20Web%20Sites/photographt-wix/www.wix.com/website-template/view/html/2728.html	(from https://www.wix.com/website-template/view/html/2728?siteId=44b0717e-7411-4cae-b4e9-710a8cf9e828&metaSiteId=d3a7b062-1794-4796-8c09-dfbd284ea09e&originUrl=https%3A%2F%2Fwww.wix.com%2Fwebsite%2Ftemplates%2Fhtml%2Fphotography&tpClick=view_button)
